0.75
"class4","p"
"nonevent",0.554
"nonevent",0.43
"Ib",0.924
"Ib",0.982
"nonevent",0.07
"II",0.992
"nonevent",0.014
"nonevent",0.022
"II",0.744
"nonevent",0.232
"nonevent",0.244
"nonevent",0.408
"nonevent",0.296
"nonevent",0.574
"Ib",0.914
"nonevent",0.15
"Ib",0.762
"nonevent",0.106
"Ib",0.974
"nonevent",0.008
"nonevent",0.17
"nonevent",0.138
"II",0.734
"nonevent",0.322
"nonevent",0.158
"II",0.96
"nonevent",0.352
"nonevent",0.48
"nonevent",0.454
"nonevent",0.02
"nonevent",0.042
"Ib",0.938
"nonevent",0.086
"II",0.882
"II",0.968
"II",0.898
"II",0.99
"nonevent",0.056
"Ia",0.876
"nonevent",0.016
"nonevent",0.028
"Ib",0.966
"II",0.77
"nonevent",0.072
"II",0.87
"nonevent",0.026
"II",0.862
"nonevent",0.482
"nonevent",0.548
"II",0.686
"Ia",0.956
"nonevent",0.11
"nonevent",0.168
"II",0.72
"nonevent",0.182
"nonevent",0.166
"Ib",0.882
"nonevent",0.192
"II",0.96
"nonevent",0.022
"nonevent",0.06
"nonevent",0.488
"nonevent",0.16
"nonevent",0.56
"II",0.936
"nonevent",0.07
"nonevent",0.156
"II",0.95
"Ib",0.956
"II",0.906
"II",0.858
"Ib",0.988
"nonevent",0.448
"nonevent",0.068
"nonevent",0.11
"II",0.902
"nonevent",0.124
"II",0.84
"nonevent",0.094
"nonevent",0.152
"II",0.964
"nonevent",0.414
"nonevent",0.234
"nonevent",0.122
"Ib",0.764
"nonevent",0.198
"nonevent",0.01
"nonevent",0.042
"nonevent",0.122
"nonevent",0.506
"nonevent",0.436
"nonevent",0.018
"nonevent",0.012
"Ib",0.942
"II",0.956
"nonevent",0.048
"nonevent",0.076
"Ib",0.906
"nonevent",0.202
"Ib",0.982
"nonevent",0.592
"nonevent",0.442
"Ib",0.944
"nonevent",0.268
"II",0.89
"nonevent",0.06
"II",0.948
"nonevent",0.096
"II",0.816
"II",0.722
"nonevent",0.03
"nonevent",0.022
"nonevent",0.592
"nonevent",0.1
"Ib",0.896
"II",0.838
"nonevent",0.068
"Ib",0.994
"II",0.942
"nonevent",0.084
"nonevent",0.502
"Ib",0.986
"nonevent",0.254
"II",0.964
"II",0.776
"nonevent",0.404
"Ib",0.916
"II",0.848
"nonevent",0.05
"nonevent",0.498
"nonevent",0.11
"nonevent",0.246
"nonevent",0.016
"nonevent",0.588
"Ib",0.922
"Ib",0.992
"nonevent",0.198
"Ib",0.916
"nonevent",0.328
"Ib",0.776
"nonevent",0.192
"II",0.968
"II",0.948
"nonevent",0.318
"nonevent",0.058
"nonevent",0.358
"nonevent",0.074
"nonevent",0.208
"Ib",0.982
"Ib",0.958
"nonevent",0.46
"nonevent",0.026
"Ib",0.838
"Ia",0.74
"II",0.76
"nonevent",0.49
"nonevent",0.076
"Ib",0.902
"Ib",0.89
"Ib",0.634
"nonevent",0.29
"nonevent",0.304
"II",0.544
"nonevent",0.004
"nonevent",0.308
"Ib",0.94
"nonevent",0.544
"nonevent",0.334
"nonevent",0.052
"nonevent",0.422
"nonevent",0.04
"nonevent",0.028
"nonevent",0.374
"Ib",0.99
"nonevent",0.214
"nonevent",0.186
"Ib",0.904
"II",0.818
"II",0.98
"II",0.854
"Ib",0.908
"Ib",0.852
"nonevent",0.156
"nonevent",0.08
"nonevent",0.124
"Ib",0.842
"II",0.742
"nonevent",0.03
"Ib",0.89
"nonevent",0.018
"nonevent",0.408
"nonevent",0.328
"II",0.908
"II",0.616
"nonevent",0.282
"nonevent",0.39
"Ib",0.842
"nonevent",0.226
"nonevent",0.088
"nonevent",0.06
"Ia",0.838
"Ib",0.964
"nonevent",0.012
"nonevent",0.24
"nonevent",0.408
"Ib",0.66
"Ib",0.95
"Ib",0.876
"nonevent",0.394
"Ib",0.958
"II",0.814
"nonevent",0.05
"nonevent",0.492
"nonevent",0.04
"II",0.648
"Ib",0.798
"Ib",0.77
"nonevent",0.04
"II",0.908
"Ia",0.956
"nonevent",0.226
"II",0.712
"nonevent",0.316
"Ib",0.856
"nonevent",0.162
"II",0.772
"nonevent",0.256
"nonevent",0.184
"nonevent",0.068
"nonevent",0.046
"nonevent",0.102
"nonevent",0.368
"nonevent",0.154
"nonevent",0.228
"nonevent",0.526
"nonevent",0.156
"nonevent",0.05
"II",0.998
"II",0.904
"nonevent",0.466
"II",0.908
"II",0.818
"nonevent",0.35
"nonevent",0.006
"Ib",0.894
"II",0.984
"nonevent",0.196
"nonevent",0.04
"nonevent",0.258
"II",0.92
"nonevent",0.07
"nonevent",0.178
"Ib",0.798
"Ib",0.746
"nonevent",0.678
"nonevent",0.292
"Ib",0.72
"nonevent",0.058
"nonevent",0.602
"nonevent",0.1
"Ia",0.916
"nonevent",0.136
"II",0.924
"nonevent",0.274
"II",0.962
"nonevent",0.038
"nonevent",0.236
"nonevent",0.56
"nonevent",0.082
"nonevent",0.15
"nonevent",0.368
"nonevent",0.15
"nonevent",0.218
"II",0.966
"nonevent",0.498
